labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	settings
JPC05_Composite,	2,	0.5076,	352.9509325,	19.05935035,	1,	2022
JPC05_Composite,	6,	0.5,	265.1393722,	13.49559405,	1,	1
JPC05_Composite,	11,	0.4243,	181.380385,	16.05216408,	1,	0
JPC05_Composite,	16,	0.5,	100.8447086,	17.44613459,	1,	
JPC05_Composite,	21,	0.5328,	76.37204428,	6.804749145,	1,	
JPC05_Composite,	26,	0.5,	68.56876585,	8.591666361,	1,	
JPC05_Composite,	31,	0.42375,	69.25314013,	12.29935769,	1,	
JPC05_Composite,	41,	0.60389,	43.75096259,	6.409516019,	1,	
JPC05_Composite,	51,	0.5949,	30.67929182,	6.838414147,	1,	
JPC05_Composite,	61,	0.55705,	50.27138461,	9.50631883,	1,	
JPC05_Composite,	71,	0.4169,	46.61813556,	8.670973215,	1,	
JPC05_Composite,	81,	0.50515,	28.63347613,	8.653036487,	1,	
JPC05_Composite,	102,	0.5,	16.31795784,	10.20198724,	1,	
