labID,age,error,depth,cc
JPC05_C1,-71,1,0,0
JPC05_C2,150,15,216.5,1
JPC05_C3,200,20,251,1
JPC05_C4,230,15,252.5,1
JPC05_C5,175,20,273.5,1
JPC05_C6,860,45,445.5,1
JPC05_C7,460,85,502,1
JPC05_C8,955,20,529,1
JPC05_C9,1810,25,670.5,1
JPC05_C10,1120,20,751,1
JPC05_C11,1310,15,815,1
JPC05_C12,2020,20,815,1
JPC05_C13,1680,20,939.5,1
JPC05_C14,1800,20,1107,1
JPC05_C15,1890,20,1228.5,1
JPC05_C16,2090,45,1321,1
JPC05_C17,2520,20,1398,1
JPC05_C18,3310,20,1661,1
JPC05_C19,3930,30,1709.5,1
JPC05_C20,4550,20,1769,1
JPC05_C21,4930,50,1797.5,1
JPC05_C22,5530,65,1857,1
JPC05_C23,7120,35,2039.5,1
