"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1",25.26216,39.16814,117.60216,268.7408,286.92653,325.17421,424.27985,469.248584,608.57437,612.361048,621.77079,695.44659,698.176434,717.18255,720.58939,742.57083,814.07513,817.28489,824.55395,842.46571,852.80701,861.858674,867.89779,873.35353,876.99069,882.44643,995.392474,1026.50739,1254.03559,1323.441885,1379.78651,1386.05273,1401.352418,1412.29184,1420.7974,1467.83735,1546.342732,1637.07161,1652.17333,1767.722,1785.75245,2248.92873,2296.57561,2301.255046,2346.487282,2348.371858,2538.43905,2548.47705,2685.39252,3194.25905,3521.01824,4076.52934,5356.61044,5637.66384,6093.86774,6807.603,7477.79441,7703.66226,7835.71978,7865.75719
"2",21.10322,34.96528,117.78449,262.857985,293.51133,332.31021,428.7153,473.77581,579.59217,585.384525,596.17237,654.98512,657.579016,670.25046,674.8298,705.29929,757.966866,760.685289,768.86196,789.42049,800.20237,810.165007,816.07384,820.84294,824.02234,828.79144,918.106188,945.85021,1254.3338,1337.10919,1399.61664,1406.62674,1425.123126,1431.37843,1435.98479,1447.249568,1502.833594,1603.53352,1629.40599,1757.36412,1777.32759,2234.58327,2265.50526,2282.473446,2332.12295,2334.31243,2577.84909,2604.91523,2761.57323,3266.50767,3558.73509,4081.57882,5425.12254,5716.60041,6250.50024,6883.30545,7538.44204,7716.74454,7836.808,7875.39916
"3",26.22754,38.27168,126.96187,264.26829,290.865,323.0282,418.82536,470.13368,580.47704,587.074436,605.79493,671.62478,676.419272,691.251929,692.284787,709.48089,740.354518,742.909417,752.46612,777.06935,789.94355,798.962043,804.20462,809.02964,812.24632,817.07134,902.511552,938.0493,1198.89994,1281.25075,1347.53227,1354.67686,1374.000874,1387.1961,1397.30474,1412.774354,1482.811218,1595.53555,1612.26163,1796.05019,1817.73935,2243.91162,2275.09741,2306.08639,2334.37319,2336.11998,2523.14614,2541.4219,2620.53006,3203.13993,3603.16907,4144.58441,5440.82017,5691.66782,6176.85743,6673.93694,7264.32642,7415.96104,7606.35512,7777.56182
"4",46.01314,52.422844,120.05991,263.84882,283.24498,317.08066,407.614392,467.42254,567.8169,574.201644,594.31691,657.01116,666.003,684.110643,685.554009,692.24066,753.18789,757.75803,765.83839,785.81867,799.86065,806.932468,810.62845,814.63525,817.30645,821.31325,903.759858,945.54764,1188.45139,1251.760065,1353.412,1361.64901,1382.688082,1402.54011,1418.01595,1435.47795,1530.21831,1637.735102,1653.936802,1798.736982,1804.737012,2211.144422,2241.034282,2271.091772,2308.340562,2310.363502,2514.748402,2522.426862,2593.716002,3128.906682,3531.207482,4125.782992,5427.891582,5693.652232,6201.720982,6621.503222,7377.343282,7524.801422,7713.782982,7907.139732
"5",41.42016,49.661042,113.71225,260.67728,277.19124,299.97924,387.190813,445.2572,553.11501,558.649668,582.21288,636.0534,648.19242,685.243664,686.087592,702.95294,731.443687,736.4510155,742.778105,758.065285,771.320965,788.766875,796.856545,800.616325,803.122845,806.882625,876.364559,914.594325,1191.840855,1257.420175,1364.513882,1364.900753,1370.168825,1387.895845,1401.677965,1428.689191,1504.472445,1650.639831,1665.169421,1804.759421,1814.314391,2229.255801,2261.079651,2276.618091,2332.568331,2338.310631,2605.650751,2614.095137,2676.389621,3182.272721,3632.577091,4289.479391,5451.127491,5630.134491,6080.980291,6672.841331,7364.635691,7550.371371,7722.718691,7849.826291
"6",47.09222,53.710166,122.91676,283.122013,300.685178,326.225818,370.493448,420.247318,540.647438,548.974031,573.749608,644.580508,654.317008,689.664718,690.718538,697.179088,748.3379,753.488096,759.995708,776.605908,792.900348,804.259169,808.914878,812.088008,814.203428,817.376558,899.03417,939.959748,1203.266248,1254.377408,1345.884207,1346.370264,1353.89166,1378.309008,1397.260728,1420.916002,1502.310888,1622.020488,1639.185858,1775.109998,1785.411128,2182.405138,2205.845238,2239.644658,2317.064378,2331.180418,2542.420518,2568.976838,2693.065868,3131.709608,3573.799168,4205.597518,5313.065068,5585.316628,6068.020268,6710.385228,7402.778768,7553.865948,7787.075268,7885.706478
"7",46.9435,59.41902,118.28513,273.316335,288.021912,295.388856,334.964863,388.674134,542.144524,548.870224,575.264074,638.381024,649.727204,693.047937,694.009563,699.916054,734.439872,735.257471,741.030774,759.270964,775.486144,787.4868,791.644204,793.640284,794.971004,796.967084,872.575862,934.434954,1205.542324,1260.083724,1350.099784,1354.253374,1405.241524,1423.289604,1433.934204,1453.9746764,1533.296853,1632.178137,1649.184257,1777.903237,1798.767307,2241.679057,2266.939827,2324.019417,2381.065147,2388.482307,2588.133407,2611.157887,2733.364207,3139.708067,3590.143117,4276.679257,5335.908017,5636.003237,6121.191957,6997.340857,7340.139107,7557.715497,7824.372257,7879.078277
"8",47.55566,60.87756,139.20439,259.5625,287.620229,294.336973,331.863316,392.178346,535.300456,551.031286,590.131606,654.789516,671.089056,684.232426,686.584426,697.321226,734.047274,738.883097,744.993478,759.980498,773.452478,788.584258,795.194598,798.269388,800.319248,803.394038,871.95337,906.528778,1212.538998,1280.457628,1345.800618,1352.099628,1396.714428,1419.234648,1434.404888,1444.447874,1517.064204,1613.316408,1630.218008,1742.226168,1756.782588,2176.630953,2222.093438,2268.199428,2316.263178,2325.516798,2485.169108,2506.212468,2613.434468,2995.203368,3535.968558,4226.903718,5253.218358,5583.284218,5992.413738,7174.860228,7348.922084,7641.906118,7864.793998,7896.526138
"9",32.392,40.988774,127.13759,263.13469,284.51303,293.32031,332.21181,415.23922,536.87937,554.9691,593.36387,664.91926,687.3154,715.33927,716.21089,730.22156,764.809201,766.176454,771.314035,785.553685,795.499825,809.505465,816.821425,820.923055,823.657475,827.759105,890.859305,915.665445,1182.335635,1289.411795,1349.340325,1353.075565,1379.783005,1394.407795,1404.397675,1421.091049,1516.908801,1642.008795,1661.115329,1770.723715,1780.918705,2178.785995,2215.323995,2257.641615,2317.895555,2328.160435,2517.361225,2534.704945,2641.979035,2917.276055,3510.095695,4169.848035,5251.433845,5669.551185,6043.909335,6926.366585,7207.087445,7498.640545,7822.317585,7880.129535
"10",40.976968,45.3779,141.09092,270.2503,298.160257,307.328897,354.231307,420.708387,571.262327,590.351147,631.069177,701.546667,730.763607,765.966788,767.66803,784.979577,825.929367,827.696142,837.331417,863.385627,878.223807,903.686867,914.927967,918.600117,921.048217,924.720367,994.737159,1027.218467,1289.300937,1371.801057,1498.360759,1500.486895,1510.466686,1516.687177,1521.154457,1533.690277,1600.837057,1682.994357,1704.476529,1749.395827,1759.723807,2197.661907,2236.988307,2275.638797,2331.427127,2343.724887,2546.879027,2565.100027,2688.224307,3166.694067,3642.310807,4166.372397,5365.383507,5681.512907,6214.034787,6957.955537,7244.522137,7542.366877,7848.273517,7909.490827
