time,height
1630090579,0.53
1630092379,0.38
1630094179,0.38
1630095979,0.18
1630097779,0.17
1630099579,0.16
1630101379,0.16
1630103179,0.16
1630104979,0.15
1630106779,0.16
1630108579,0.18
1630110379,0.17
1630112179,0.15
1630113979,0.17
1630115779,0.16
1630117579,0.16
1630119379,0.17
1630121179,0.17
1630122979,0.17
1630124779,0.17
1630126579,0.16
1630128379,0.17
1630130179,0.19
1630131979,0.18
1630133779,0.19
1630135579,0.19
1630137379,0.2
1630139179,0.19
1630140979,0.17
1630142779,0.18
1630144579,0.2
1630146379,0.18
1630148179,0.19
1630149979,0.2
1630151779,0.21
1630153579,0.2
1630155379,0.2
1630157179,0.19
1630158979,0.18
1630160779,0.21
1630162579,0.2
1630164379,0.2
1630166179,0.19
1630167979,0.19
1630169779,0.18
1630171579,0.17
1630173379,0.19
1630175179,0.2
1630176979,0.2
1630178779,0.22
1630180579,0.2
1630182379,0.2
1630184179,0.17
1630185979,0.19
1630187779,0.19
1630189579,0.18
1630191379,0.17
1630193179,0.19
1630194979,0.19
1630196779,0.18
1630198579,0.17
1630200379,0.2
1630202179,0.18
1630203979,0.17
1630205779,0.17
1630207579,0.15
1630209379,0.16
1630211179,0.15
1630212979,0.15
1630214779,0.15
1630216579,0.15
1630218379,0.14
1630220179,0.14
1630221979,0.14
1630223779,0.14
1630225579,0.14
1630227379,0.15
1630229179,0.14
1630230979,0.15
1630232779,0.14
1630234579,0.14
1630236379,0.13
1630238179,0.15
1630239979,0.16
1630241779,0.14
1630243579,0.15
1630245379,0.16
1630247179,0.16
1630248979,0.14
1630250779,0.14
1630252579,0.16
1630254379,0.14
1630256179,0.15
1630257979,0.14
1630259779,0.16
1630261579,0.16
1630263379,0.13
1630265179,0.14
1630266979,0.14
1630268779,0.13
1630270579,0.14
1630272379,0.12
1630274179,0.15
1630275979,0.15
1630277779,0.12
1630279579,0.14
1630281379,0.14
1630283179,0.14
1630284979,0.13
1630286779,0.13
1630288579,0.14
1630290379,0.13
1630292179,0.14
1630293979,0.13
1630295779,0.14
1630297579,0.14
1630299379,0.13
1630301179,0.14
1630302979,0.16
1630304779,0.17
1630306579,0.16
1630308379,0.17
1630310179,0.13
1630311979,0.1
1630313779,0.11
1630315579,0.12
1630317379,0.15
1630319179,0.14
1630320979,0.11
1630322779,0.1
1630324579,0.15
1630326379,0.13
1630328179,0.12
1630329979,0.1
1630331779,0.13
1630333579,0.12
1630335379,0.12
1630337179,0.1
1630338979,0.1
1630340779,0.11
1630342579,0.14
1630344379,0.12
1630346179,0.11
1630347979,0.11
1630349779,0.13
1630351579,0.11
1630353379,0.12
1630355179,0.14
1630356979,0.15
1630358779,0.13
1630360579,0.11
1630362379,0.14
1630364179,0.16
1630365979,0.2
1630367779,0.17
1630369579,0.15
1630371379,0.19
1630373179,0.24
1630374979,0.19
1630376779,0.1
1630378579,0.11
1630380379,0.14
1630382179,0.12
1630383979,0.11
1630385779,0.1
1630387579,0.11
1630389379,0.11
1630391179,0.09
1630392979,0.12
1630394779,0.12
1630396579,0.11
1630398379,0.1
1630400179,0.12
1630401979,0.12
1630403779,0.12
1630405579,0.12
1630407379,0.12
1630409179,0.08
1630410979,0.1
1630412779,0.1
1630414579,0.07
1630416379,0.11
1630418179,0.11
1630419979,0.09
1630421779,0.11
1630423579,0.08
1630425379,0.08
1630427179,0.09
1630428979,0.07
1630430779,0.07
1630432579,0.07
1630434379,0.08
1630436179,0.1
1630437979,0.09
1630439779,0.09
1630441579,0.09
1630443379,0.08
1630445179,0.09
1630446979,0.11
1630448779,0.1
1630450579,0.09
1630452379,0.09
1630454179,0.1
1630455979,0.08
1630457779,0.09
1630459579,0.08
1630461379,0.07
1630463179,0.08
1630464979,0.07
1630466779,0.06
1630468579,0.08
1630470379,0.05
1630472179,0.06
1630473979,0.06
1630475779,0.06
1630477579,0.06
1630479379,0.05
1630481179,0.05
1630482979,0.05
1630484779,0.06
1630486579,0.06
1630488379,0.07
1630490179,0.06
1630491979,0.05
1630493779,0.05
1630495579,0.06
1630497379,0.09
1630499179,0.05
1630500979,0.06
1630502779,0.05
1630504579,0.05
1630506379,0.1
1630508179,0.1
1630509979,0.05
1630511779,0.05
1630513579,0.08
1630515379,0.08
1630517179,0.07
1630518979,0.05
1630520779,0.06
1630522579,0.08
1630524379,0.06
1630526179,0.06
1630527979,0.08
1630529779,0.07
1630531579,0.1
1630533379,0.11
1630535179,0.07
1630536979,0.08
1630538779,0.1
1630540579,0.13
1630542379,0.11
1630544179,0.12
1630545979,0.11
1630547779,0.12
1630549579,0.12
1630551379,0.13
1630553179,0.13
1630554979,0.18
1630556779,0.22
