Time,AT_C,RH_%,BP_mbar,Wspd_kts,Wgst_kts,Wdir_degT
8/25/21 21:33,11.59,91.3,1008.035,2.219,3.051,68.07
8/25/21 22:03,11.2,89.7,1008.022,1.242,1.658,276
8/25/21 22:33,10.86,92.3,1007.928,1.31,2.733,38.46
8/25/21 23:03,10.71,92.2,1008.043,2.177,3.423,9.95
8/25/21 23:33,11,91.4,1008.127,1.204,2.017,11.06
8/26/21 0:03,11.75,88.1,1008.296,0.719,1.34,76.78
8/26/21 0:33,11.67,86,1008.378,0.991,1.791,87
8/26/21 1:03,12.34,83.1,1008.2,1.178,2.6,70.02
8/26/21 1:33,12.38,81.9,1008.118,0.471,0.862,37.77
8/26/21 2:03,12.55,78.94,1007.832,1.006,1.486,73.56
8/26/21 2:33,12.84,76.89,1007.77,0.625,1.207,98.9
8/26/21 3:03,12.41,78.92,1007.708,0.691,1.804,135.6
8/26/21 3:33,12.6,74.59,1007.623,1.681,2.693,164.1
8/26/21 4:03,12.66,77.53,1007.656,0.808,1.711,100.9
8/26/21 4:33,12.04,84.1,1007.72,1.341,2.335,35.67
8/26/21 5:03,11.68,90,1007.721,0.725,1.194,44.66
8/26/21 5:33,11.69,86.9,1007.657,1.975,3.065,131.1
8/26/21 6:03,11.52,89.6,1007.733,0.93,1.751,207.4
8/26/21 6:33,11.61,86.2,1007.911,1.879,2.826,146.2
8/26/21 7:03,11.61,86.7,1008.378,0.838,1.048,230.8
8/26/21 7:33,11.46,86.7,1008.243,0.653,1.061,335.4
8/26/21 8:03,11.2,90.2,1008.214,1.328,2.76,0.288
8/26/21 8:33,11.2,88.3,1008.296,3.249,3.927,210.7
8/26/21 9:03,11.9,82.5,1008.228,2.983,6.249,294.5
8/26/21 9:33,11.6,86,1008.352,2.806,4.723,169.9
8/26/21 10:03,11.88,83.5,1008.378,1.198,2.136,229
8/26/21 10:33,12.87,73,1008.214,0.79,1.619,176.7
8/26/21 11:03,12.67,74.57,1008.055,1.736,3.065,297.3
8/26/21 11:33,12.69,75.87,1007.897,4.709,8.85,63.8
8/26/21 12:03,12.1,80.5,1007.682,2.217,4.776,72.06
8/26/21 12:33,11.81,83.8,1007.509,4.75,7.602,282.7
8/26/21 13:03,11.3,88.7,1007.58,2.798,3.728,279.8
8/26/21 13:33,11.9,82.3,1007.651,2.98,4.989,295.8
8/26/21 14:03,10.98,91.2,1007.556,1.702,3.118,122.5
8/26/21 14:33,10.78,92.5,1007.708,2.008,3.197,68.71
8/26/21 15:03,11.66,83.4,1007.634,0.996,1.672,20.78
8/26/21 15:33,11.63,84.3,1007.582,1.486,3.052,16.14
8/26/21 16:03,12.02,79.64,1007.756,2.188,5.506,7.628
8/26/21 16:33,11.62,84.9,1008.032,2.155,3.277,75.75
8/26/21 17:03,11.56,85.2,1008.131,2.248,4.073,135.5
8/26/21 17:33,11.74,84.5,1008.373,0.978,1.818,46.68
8/26/21 18:03,12.38,84.3,1008.502,0.308,1.048,219.4
8/26/21 18:33,12.49,79.21,1008.876,2.211,4.206,102.3
8/26/21 19:03,12.93,71.21,1009.15,5.433,11.5,81.8
8/26/21 19:33,12.52,74.2,1009.348,6.255,12.22,64.6
8/26/21 20:03,12.51,74.74,1009.692,3.744,7.682,84.2
8/26/21 20:33,12.9,71.02,1010.02,1.353,3.197,124.4
8/26/21 21:03,13.09,71.25,1010.349,1.757,4.007,17.31
8/26/21 21:33,13.11,66.36,1010.659,1.889,4.431,70.61
8/26/21 22:03,13.43,64.21,1010.675,3.757,7.085,67.83
8/26/21 22:33,13.73,62.55,1010.732,3.651,7.416,65.28
8/26/21 23:03,13.56,64.65,1010.784,3.792,6.116,328.9
8/26/21 23:33,12.28,74.32,1010.891,8.37,9.71,323.3
8/27/21 0:03,11.65,77.92,1011.23,9.19,10.71,318.1
8/27/21 0:33,12.75,68.76,1011.593,7.159,9.69,313.7
8/27/21 1:03,11.88,72.93,1011.773,9.69,11.85,316.5
8/27/21 1:33,12.12,67.65,1011.797,13.15,18.1,323.7
8/27/21 2:03,10.79,83.3,1012.382,9.56,14.85,315.7
8/27/21 2:33,10.66,91.1,1012.973,2.683,5.758,39.07
8/27/21 3:03,10.7,91.4,1013.26,2.346,4.962,30.03
8/27/21 3:33,10.65,94,1013.482,5.311,8.56,308.4
8/27/21 4:03,10.99,88.9,1013.602,4.542,7.655,312.6
8/27/21 4:33,11.65,79.78,1013.664,7.524,10.59,308.9
8/27/21 5:03,10.92,89.8,1013.912,9.92,12.43,320
8/27/21 5:33,10.91,86.9,1014.377,7.182,11.72,311.3
8/27/21 6:03,10.77,89.9,1014.685,7.502,9.5,320.6
8/27/21 6:33,10.86,90.5,1015.095,5.627,9.26,318.5
8/27/21 7:03,11.07,89.4,1015.46,7.035,9.67,314.6
8/27/21 7:33,10.96,89.6,1015.923,6.098,8.58,323.8
8/27/21 8:03,10.65,90.7,1016.263,4.547,6.886,320.3
8/27/21 8:33,11.08,84.9,1016.5,3.068,5.824,299.3
8/27/21 9:03,11.21,86.8,1016.582,5.271,8.41,313.8
8/27/21 9:33,11.18,89.9,1016.759,6.828,11.03,313.1
8/27/21 10:03,11.23,90.1,1017.021,5.722,8.88,293.3
8/27/21 10:33,11.38,88.7,1016.999,5.373,9.19,321.1
8/27/21 11:03,11.33,90.2,1017.024,6.877,11.86,305
8/27/21 11:33,11.23,91.9,1017.231,6.867,12.39,285.5
8/27/21 12:03,11.37,90.6,1017.347,5.998,10.34,289.6
8/27/21 12:33,11.34,92.1,1017.443,8.27,13.35,304.1
8/27/21 13:03,11.36,91.7,1017.625,6.331,10.81,305.3
8/27/21 13:33,11.24,92.8,1017.771,9.52,13.39,312.4
8/27/21 14:03,11.3,91.2,1018.053,4.731,7.775,293.9
8/27/21 14:33,10.73,96.2,1018.259,5.651,7.735,313.4
8/27/21 15:03,10.95,95,1018.429,6.633,10.75,295.1
8/27/21 15:33,10.98,94.4,1018.679,6.532,9.42,308.5
8/27/21 16:03,11.06,93.8,1018.828,6.632,9.26,307.8
8/27/21 16:33,11.03,94.6,1019.084,5.419,8.73,288.8
8/27/21 17:03,11.2,92.3,1019.372,5.942,9.84,289.5
8/27/21 17:33,11.17,92.5,1019.513,6.312,7.735,318.4
8/27/21 18:03,11.18,92.2,1019.848,5.191,7.708,307.8
8/27/21 18:33,10.31,97.8,1019.986,3.757,6.594,2.799
8/27/21 19:03,10.92,97.1,1020.2,2.192,3.994,115.5
8/27/21 19:33,11.2,97,1020.295,1.891,4.909,189.2
8/27/21 20:03,10.66,97.4,1020.527,3.18,5.904,33.08
8/27/21 20:33,11.02,98,1020.78,2.445,3.463,200
8/27/21 21:03,11.02,98.3,1020.96,0.606,1.353,80
8/27/21 21:33,10.7,98.6,1021.169,1.23,3.012,153.1
8/27/21 22:03,10.47,98.9,1021.11,3.606,7.218,28.09
8/27/21 22:33,10.85,98.6,1021.191,2.895,7.828,72.93
8/27/21 23:03,11.06,98,1021.349,0.993,2.255,155.3
8/27/21 23:33,11.79,97.9,1021.355,0.752,1.473,80.7
8/28/21 0:03,10.41,98.6,1021.304,4.74,8.03,19.71
8/28/21 0:33,11.27,99,1021.433,1.05,2.879,87.2
8/28/21 1:03,10.23,98.9,1021.484,2.975,5.785,58.45
8/28/21 1:33,10.47,99.7,1021.435,2.267,3.33,220.4
8/28/21 2:03,10.2,99.3,1021.52,3.577,6.74,57.94
8/28/21 2:33,9.72,99.9,1021.736,2.261,4.06,61.02
8/28/21 3:03,9.8,100,1021.835,3.079,6.13,12.62
8/28/21 3:33,9.76,100,1021.877,2.107,4.604,37.28
8/28/21 4:03,9.74,100,1021.951,1.395,2.946,25.95
8/28/21 4:33,9.83,100,1022.017,1.005,1.619,322.5
8/28/21 5:03,9.91,100,1022.046,0.907,1.658,265
8/28/21 5:33,9.94,100,1022.334,1.258,2.879,63.2
8/28/21 6:03,9.91,100,1022.373,0.548,1.274,25.16
8/28/21 6:33,9.93,100,1022.519,1.003,1.327,136
8/28/21 7:03,10.03,100,1022.67,0.641,1.274,114.8
8/28/21 7:33,10.02,100,1022.774,1.245,3.954,45.36
8/28/21 8:03,9.85,100,1022.781,1.315,3.98,42.67
8/28/21 8:33,9.84,100,1022.836,2.913,5.002,67.49
8/28/21 9:03,10.11,100,1022.843,1.516,3.835,61.41
8/28/21 9:33,9.98,100,1022.837,2.056,4.724,30.25
8/28/21 10:03,9.97,100,1022.841,1.745,3.49,49.72
8/28/21 10:33,10.16,100,1022.964,3.912,7.47,314.9
8/28/21 11:03,10.17,99.9,1022.758,3.216,7.165,25.65
8/28/21 11:33,9.81,100,1022.648,3.355,6.78,22.22
8/28/21 12:03,10.44,97.1,1022.667,6.592,9.69,310
8/28/21 12:33,10.56,90.6,1022.675,6.319,8.96,325.5
8/28/21 13:03,10.25,91.8,1022.659,4.007,6.727,18.89
8/28/21 13:33,10,94.1,1022.545,1.919,3.821,54.18
8/28/21 14:03,9.71,94.7,1022.726,2.784,5.692,26.93
8/28/21 14:33,9.69,94.8,1022.684,3.761,6.568,63.72
8/28/21 15:03,9.73,92.1,1022.821,4.362,6.899,331.5
8/28/21 15:33,9.5,95.5,1022.765,2.175,4.18,49.54
8/28/21 16:03,9.2,96.8,1022.691,3.079,5.706,69.97
8/28/21 16:33,9.03,98.4,1022.866,1.518,2.919,65.33
8/28/21 17:03,9.06,99.3,1022.9,1.054,1.937,173.3
8/28/21 17:33,9.08,99.7,1022.968,0.333,0.637,208.4
8/28/21 18:03,9.27,99.7,1023.27,0.557,0.916,306
8/28/21 18:33,9.71,99.4,1023,1.145,2.415,287.3
8/28/21 19:03,9.65,98.2,1022.998,0.61,1.075,277.4
8/28/21 19:33,10.22,96.3,1023.063,0.741,1.287,304.2
8/28/21 20:03,10.79,94.8,1023.219,0.574,1.513,57.43
8/28/21 20:33,11.08,90.7,1023.158,1.01,2.003,305.9
8/28/21 21:03,11.11,89.9,1023.268,1.114,1.897,63.07
8/28/21 21:33,11.16,85,1023.152,3.525,6.78,295
8/28/21 22:03,10.6,89,1022.997,3.953,7.019,30.14
8/28/21 22:33,10.45,88.2,1023.154,4.404,7.775,19.26
8/28/21 23:03,10.28,88.5,1023.054,7.235,9.35,327.6
8/28/21 23:33,10.7,90.6,1023.133,1.549,3.874,39.05
8/29/21 0:03,11.04,89.9,1022.998,0.831,2.587,79.14
8/29/21 0:33,10.83,86.9,1022.915,1.242,3.052,63.37
8/29/21 1:03,11.2,87.8,1022.833,1.26,2.853,66.47
8/29/21 1:33,10.95,85.4,1022.707,1.484,3.025,40.15
8/29/21 2:03,11.19,85.5,1022.596,0.647,1.075,339.3
8/29/21 2:33,11.45,83.3,1022.619,0.588,1.022,100.6
8/29/21 3:03,11.42,80.1,1022.605,1.646,3.118,122.9
8/29/21 3:33,11.48,81,1022.588,0.633,1.406,74.15
8/29/21 4:03,11.12,80.7,1022.52,2.051,3.038,135.7
8/29/21 4:33,11.16,79.11,1022.505,2.489,3.808,144.4
8/29/21 5:03,11.23,79.37,1022.504,2.624,4.193,125.7
8/29/21 5:33,11.02,81.4,1022.505,1.014,1.95,160.4
8/29/21 6:03,10.96,82,1022.608,0.911,1.579,293.4
8/29/21 6:33,10.78,84.9,1022.752,0.896,1.459,294.4
8/29/21 7:03,10.43,89.6,1022.834,0.405,0.756,207.6
8/29/21 7:33,10.09,91.1,1022.834,2.037,3.025,187.1
8/29/21 8:03,10.02,92.5,1022.764,2.041,2.76,144.8
8/29/21 8:33,10.22,89.1,1022.595,1.521,2.534,164.6
8/29/21 9:03,10.34,88.6,1022.506,1.02,1.473,221
8/29/21 9:33,10.2,88.9,1022.423,0.493,0.889,170.3
8/29/21 10:03,10.38,87.3,1022.423,0.686,1.088,131.5
8/29/21 10:33,11.48,78.13,1022.355,3.365,5.559,192
8/29/21 11:03,11.44,77.49,1022.334,4.896,7.098,162
8/29/21 11:33,11.41,77.16,1022.177,5.167,7.231,173.5
8/29/21 12:03,11.56,74.81,1022.035,4.84,7.098,169.5
8/29/21 12:33,11.6,75.26,1021.684,4.479,6.966,173.3
8/29/21 13:03,11.49,75.31,1021.52,3.514,5.4,164.1
8/29/21 13:33,11.53,74.9,1021.2,4.39,6.554,169.5
8/29/21 14:03,11.56,75.98,1021.163,6.172,11.66,155.1
8/29/21 14:33,11.32,78.5,1020.97,5.47,9.39,179.2
8/29/21 15:03,11.21,79.7,1020.709,4.804,6.886,175.2
8/29/21 15:33,11.39,78.29,1020.407,3.695,6.541,169.6
8/29/21 16:03,11.22,81.7,1020.187,5.423,8.46,173.2
8/29/21 16:33,11.54,80.2,1020.141,8.19,11.99,148.6
8/29/21 17:03,11.54,81.4,1020.136,8.04,11.79,152.1
8/29/21 17:33,11.24,85.6,1019.909,5.487,9.09,163.9
8/29/21 18:03,11.39,84.6,1019.819,6.926,11.5,151.3
8/29/21 18:33,11.77,79,1019.717,8.96,12.95,153.9
8/29/21 19:03,11.99,77.77,1019.51,9.73,15.28,152.7
8/29/21 19:33,12.2,77.03,1019.405,8.41,11.54,157.5
8/29/21 20:03,12.2,74.73,1019.328,9.84,13.33,161.9
8/29/21 20:33,12.25,75.36,1019.058,7.105,9.59,158.7
8/29/21 21:03,12.46,74.01,1018.941,7.09,11.94,151.2
8/29/21 21:33,12.51,72.62,1018.613,8.39,12.22,153.2
