time,height
1630019041,0.14
1630020841,0.21
1630022641,0.97
1630024441,0.73
1630026241,0.56
1630028041,0.58
1630029841,0.59
1630031641,0.62
1630033441,0.65
1630035241,0.59
1630037041,0.59
1630038841,0.51
1630040641,0.52
1630042441,0.48
1630044241,0.43
1630046041,0.41
1630047841,0.4
1630049641,0.42
1630051441,0.41
1630053241,0.45
1630055041,0.41
1630056841,0.42
1630058641,0.44
1630060441,0.44
1630062241,0.39
1630064041,0.43
1630065841,0.39
1630067641,0.39
1630069441,0.4
1630071241,0.38
1630073041,0.38
1630074841,0.38
1630076641,0.39
1630078441,0.4
1630080241,0.39
1630082041,0.38
1630083841,0.35
1630085641,0.36
1630087441,0.37
1630089241,0.36
1630091041,0.36
1630092841,0.34
1630094641,0.36
1630096441,0.36
1630098241,0.35
1630100041,0.35
1630101841,0.36
1630103641,0.35
1630105441,0.34
1630107241,0.38
1630109041,0.38
1630110841,0.37
1630112641,0.39
1630114441,0.41
1630116241,0.39
1630118041,0.39
1630119841,0.42
1630121641,0.43
1630123441,0.45
1630125241,0.43
1630127041,0.47
1630128841,0.47
1630130641,0.51
1630132441,0.51
1630134241,0.51
1630136041,0.51
1630137841,0.5
1630139641,0.47
1630141441,0.49
1630143241,0.45
1630145041,0.49
1630146841,0.5
1630148641,0.52
1630150441,0.5
1630152241,0.5
1630154041,0.52
1630155841,0.5
1630157641,0.53
1630159441,0.49
1630161241,0.52
1630163041,0.53
1630164841,0.5
1630166641,0.56
1630168441,0.51
1630170241,0.55
1630172041,0.56
1630173841,0.55
1630175641,0.52
1630177441,0.54
1630179241,0.52
1630181041,0.52
1630182841,0.49
1630184641,0.53
1630186441,0.5
1630188241,0.46
1630190041,0.46
1630191841,0.47
1630193641,0.47
1630195441,0.47
1630197241,0.47
1630199041,0.48
1630200841,0.43
1630202641,0.46
1630204441,0.46
1630206241,0.42
1630208041,0.44
1630209841,0.44
1630211641,0.41
1630213441,0.41
1630215241,0.37
1630217041,0.36
1630218841,0.36
1630220641,0.37
1630222441,0.37
1630224241,0.37
1630226041,0.32
1630227841,0.37
1630229641,0.36
1630231441,0.36
1630233241,0.36
1630235041,0.39
1630236841,0.37
1630238641,0.37
1630240441,0.36
1630242241,0.36
1630244041,0.38
1630245841,0.37
1630247641,0.35
1630249441,0.35
1630251241,0.36
1630253041,0.35
1630254841,0.35
1630256641,0.33
1630258441,0.37
1630260241,0.34
1630262041,0.33
1630263841,0.34
1630265641,0.33
1630267441,0.3
1630269241,0.31
1630271041,0.27
1630272841,0.28
1630274641,0.28
1630276441,0.32
1630278241,0.33
1630280041,0.32
1630281841,0.31
1630283641,0.31
1630285441,0.29
1630287241,0.31
1630289041,0.33
1630290841,0.28
1630292641,0.27
1630294441,0.25
1630296241,0.24
1630298041,0.23
1630299841,0.22
1630301641,0.2
1630303441,0.19
1630305241,0.21
1630307041,0.2
1630308841,0.2
1630310641,0.16
1630312441,0.17
1630314241,0.16
1630316041,0.16
1630317841,0.18
1630319641,0.15
1630321441,0.14
1630323241,0.12
1630325041,0.12
1630326841,0.15
1630328641,0.13
1630330441,0.14
1630332241,0.15
1630334041,0.14
1630335841,0.18
1630337641,0.15
1630339441,0.13
1630341241,0.13
1630343041,0.14
1630344841,0.15
1630346641,0.17
1630348441,0.19
1630350241,0.2
1630352041,0.19
1630353841,0.16
1630355641,0.19
1630357441,0.21
1630359241,0.18
1630361041,0.14
1630362841,0.13
1630364641,0.2
1630366441,0.21
1630368241,0.18
1630370041,0.17
1630371841,0.22
1630373641,0.25
1630375441,0.19
1630377241,0.13
1630379041,0.14
1630380841,0.16
1630382641,0.17
1630384441,0.54
1630386241,0.17
1630388041,0.15
1630389841,0.16
1630391641,0.15
1630393441,0.17
1630395241,0.17
1630397041,0.16
1630398841,0.17
1630400641,0.18
1630402441,0.17
1630404241,0.16
1630406041,0.16
1630407841,0.14
1630409641,0.15
1630411441,0.16
1630413241,0.14
1630415041,0.14
1630416841,0.16
1630418641,0.16
1630420441,0.15
1630422241,0.15
1630424041,0.15
1630425841,0.16
1630427641,0.18
1630429441,0.16
1630431241,0.2
1630433041,0.18
1630434841,0.18
1630436641,0.19
1630438441,0.21
1630440241,0.19
1630442041,0.2
1630443841,0.22
