Epoch time,Significant Wave Height (m)
1660017441,0.41
1660019241,0.4
1660021041,0.37
1660022841,0.37
1660024641,0.37
1660026441,0.37
1660028241,0.32
1660030041,0.36
1660031841,0.36
1660033641,0.4
1660035441,0.35
1660037241,0.33
1660039041,0.33
1660040841,0.32
1660042641,0.3
1660044441,0.32
1660046241,0.32
1660048041,0.32
1660049841,0.29
1660051641,0.27
1660053441,0.3
1660055241,0.27
1660057041,0.28
1660058841,0.28
1660060641,0.28
1660062441,0.28
1660064241,0.31
1660066041,0.29
1660067841,0.27
1660069641,0.24
1660071441,0.25
1660073241,0.24
1660075041,0.26
1660076841,0.25
1660078641,0.27
1660080441,0.27
1660082241,0.29
1660084041,0.27
1660085841,0.29
1660087641,0.29
1660089441,0.3
1660091241,0.32
1660093041,0.32
1660094841,0.35
1660096641,0.36
1660098441,0.38
1660100241,0.39
1660102041,0.44
1660103841,0.43
1660105641,0.46
1660107441,0.55
1660109241,0.48
1660111041,0.53
1660112841,0.54
1660114641,0.5
1660116441,0.55
1660118241,0.56
1660120041,0.52
1660121841,0.56
1660123641,0.59
1660125441,0.66
1660127241,0.7
1660129041,0.73
1660130841,0.72
1660132641,0.83
1660134441,0.89
1660136241,0.72
1660138041,0.74
1660139841,0.71
1660141641,0.68
1660143441,0.65
1660145241,0.57
1660147041,0.62
1660148841,0.61
1660150641,0.64
1660152441,0.6
1660154241,0.56
1660156041,0.59
1660157841,0.61
1660159641,0.6
1660161441,0.6
1660163241,0.57
1660165041,0.55
1660166841,0.55
1660168641,0.55
1660170441,0.54
1660172241,0.59
1660174041,0.6
1660175841,0.59
1660177641,0.61
1660179441,0.67
1660181241,0.63
1660183041,0.68
1660184841,0.65
1660186641,0.58
1660188441,0.64
1660190241,0.64
1660192041,0.67
1660193841,0.64
1660195641,0.64
1660197441,0.58
1660199241,0.61
1660201041,0.57
1660202841,0.53
1660204641,0.51
1660206441,0.52
1660208241,0.49
1660210041,0.52
1660211841,0.51
1660213641,0.5
1660215441,0.48
1660217241,0.52
1660219041,0.53
1660220841,0.55
1660222641,0.53
1660224441,0.53
1660226241,0.49
1660228041,0.54
1660229841,0.49
1660231641,0.47
1660233441,0.41
1660235241,0.43
1660237041,0.38
1660238841,0.39
1660240641,0.38
1660242441,0.37
1660244241,0.33
1660246041,0.36
1660247841,0.33
1660249641,0.33
1660251441,0.33
1660253241,0.32
1660255041,0.32
1660256841,0.31
1660258641,0.31
1660260441,0.29
1660262241,0.3
1660264041,0.3
1660265841,0.33
1660267641,0.33
1660269441,0.31
1660271241,0.34
1660273041,0.34
1660274841,0.33
1660276641,0.32
1660278441,0.37
1660280241,0.33
1660282041,0.33
1660283841,0.3
1660285641,0.34
1660287441,0.36
1660289241,0.31
1660291041,0.33
1660292841,0.35
1660294641,0.37
1660296441,0.35
1660298241,0.37
1660300041,0.37
1660301841,0.4
1660303641,0.41
1660305441,0.4
1660307241,0.4
1660309041,0.39
1660310841,0.38
1660312641,0.38
1660314441,0.37
1660316241,0.33
1660318041,0.33
1660319841,0.3
1660321641,0.3
1660323441,0.29
1660325241,0.28
1660327041,0.26
1660328841,0.24
1660330641,0.24
1660332441,0.23
1660334241,0.25
1660336041,0.27
1660337841,0.28
1660339641,0.26
1660341441,0.27
1660343241,0.24
1660345041,0.27
1660346841,0.29
1660348641,0.29
1660350441,0.3
1660352241,0.3
1660354041,0.3
1660355841,0.3
1660357641,0.28
1660359441,0.27
1660361241,0.26
1660363041,0.26
1660364841,0.24
1660366641,0.23
1660368441,0.23
1660370241,0.22
1660372041,0.22
1660373841,0.22
1660375641,0.21
1660377441,0.2
1660379241,0.21
1660381041,0.19
1660382841,0.17
1660384641,0.18
1660386441,0.2
1660388241,0.2
1660390041,0.19
1660391841,0.18
1660393641,0.18
1660395441,0.18
1660397241,0.21
1660399041,0.2
1660400841,0.23
1660402641,0.25
1660404441,0.23
1660406241,0.23
1660408041,0.24
1660409841,0.24
1660411641,0.23
1660413441,0.2
1660415241,0.21
1660417041,0.18
1660418841,0.18
1660420641,0.16
1660422441,0.16
1660424241,0.17
1660426041,0.15
1660427841,0.16
1660429641,0.17
1660431441,0.15
1660433241,0.15
1660435041,0.14
1660436841,0.17
1660438641,0.16
1660440441,0.17
1660442241,0.15
1660444041,0.15
1660445841,0.14
1660447641,0.17
1660449441,0.2
1660451241,0.21
1660453041,0.21
1660454841,0.2
1660456641,0.2
1660458441,0.24
1660460241,0.27
1660462041,0.26
1660463841,0.26
1660465641,0.28
1660467441,0.25
1660469241,0.23
1660471041,0.21
1660472841,0.21
1660474641,0.2
1660476441,0.2
1660478241,0.21
1660480041,0.19
1660481841,0.18
1660483641,0.18
1660485441,0.18
1660487241,0.19
1660489041,0.2
1660490841,0.2
1660492641,0.23
1660494441,0.23
1660496241,0.22
1660498041,0.19
1660499841,0.19
1660501641,0.17
1660503441,0.2
1660505241,0.2
1660507041,0.18
1660508841,0.19
1660510641,0.21
1660512441,0.19
1660514241,0.19
1660516041,0.19
1660517841,0.18
1660519641,0.17
1660521441,0.18
1660523241,0.17
1660525041,0.16
1660526841,0.22
1660528641,0.28
1660530441,0.26
1660532241,0.33
1660534041,0.26
1660535841,0.41
1660537641,0.44
1660539441,0.46
1660541241,0.51
1660543041,0.52
1660544841,0.54
1660546641,0.5
1660548441,0.49
1660550241,0.54
1660552041,0.49
1660553841,0.45
1660555641,0.47
1660557441,0.45
1660559241,0.45
1660561041,0.45
1660562841,0.5
1660564641,0.44
1660566441,0.48
1660568241,0.5
1660570041,0.49
1660571841,0.5
1660573641,0.51
1660575441,0.49
1660577241,0.49
1660579041,0.5
1660580841,0.49
1660582641,0.51
1660584441,0.52
1660586241,0.52
1660588041,0.53
1660589841,0.5
1660591641,0.54
1660593441,0.61
1660595241,0.53
1660597041,0.54
1660598841,0.61
1660600641,0.59
1660602441,0.59
1660604241,0.53
1660606041,0.46
1660607841,0.46
1660609641,0.43
1660611441,0.46
1660613241,0.45
1660615041,0.43
1660616841,0.4
1660618641,0.41
1660620441,0.39
1660622241,0.37
1660624041,0.35
1660625841,0.35
1660627641,0.35
1660629441,0.36
1660631241,0.36
1660633041,0.34
1660634841,0.32
1660636641,0.32
1660638441,0.31
1660640241,0.28
1660642041,0.27
1660643841,0.28
1660645641,0.25
1660647441,0.26
1660649241,0.28
1660651041,0.27
1660652841,0.25
1660654641,0.24
1660656441,0.25
1660658241,0.24
1660660041,0.24
1660661841,0.23
1660663641,0.21
1660665441,0.22
1660667241,0.22
1660669041,0.24
1660670841,0.23
1660672641,0.24
1660674441,0.23
1660676241,0.24
1660678041,0.21
1660679841,0.24
1660681641,0.22
1660683441,0.22
1660685241,0.2
1660687041,0.2
1660688841,0.19
1660690641,0.18
1660692441,0.16
1660694241,0.15
1660696041,0.18
1660697841,0.16
1660699641,0.14
1660701441,0.14
1660703241,0.13
1660705041,0.14
1660706841,0.14
1660708641,0.12
1660710441,0.12
1660712241,0.15
1660714041,0.14
1660715841,0.14
1660717641,0.12
1660719441,0.14
1660721241,0.15
1660723041,0.15
1660724841,0.14
1660726641,0.15
1660728441,0.15
1660730241,0.15
1660732041,0.13
1660733841,0.14
1660735641,0.14
1660737441,0.14
1660739241,0.16
1660741041,0.16
1660742841,0.15
1660744641,0.15
1660746441,0.18
1660748241,0.18
1660750041,0.2
1660751841,0.17
1660753641,0.16
1660755441,0.18
1660757241,0.16
1660759041,0.15
1660760841,0.15
1660762641,0.16
1660764441,0.14
1660766241,0.16
1660768041,0.15
1660769841,0.15
1660771641,0.17
1660773441,0.18
