Core,Depth in Core,Depth in Composite,Wet Density,Dry Density
VC42,2,2,1.2522,0.50755
VC42,10,10,1.20025,0.4243
VC42,20,20,1.27785,0.53275
VC42,30,30,1.20435,0.42375
VC42,40,40,1.374,0.60389
VC42,50,50,1.2969,0.5949
VC31,100,52,1.7509,1.1487
VC31,110,62,1.0774,0.3693
VC31,120,72,1.1088,0.3564
VC31,130,82,1.10945,0.368
VC31,140,92,1.1393,0.32295
VC31,150,102,1.1345,0.28025
VC31,160,112,1.118533333,0.346933333
VC31,170,122,1.0558,0.2809
VC31,180,132,0.9111,0.23455
VC31,190,142,1.1113,0.3042
VC31,200,152,1.29265,0.4825
VC31,210,162,1.2473,0.329
VC31,220,172,1.10385,0.319
VC31,228,182,1.211055556,0.410166667
VC31,230,192,1.2456,0.42985
VC31,240,202,1.3290375,0.54575
VC31,250,212,1.268166667,0.381166667
VC31,260,222,1.3054,0.4114
VC31,270,232,1.328,0.4258
VC31,280,242,1.1148,0.3638
VC31,290,252,1.285833333,0.520833333
VC31,300,262,1.4439,0.7107
VC31,310,272,1.1151,0.3722
VC31,320,282,1.1535,0.291
VC31,330,292,1.232818182,0.477636364
VC31,340,302,1.171888889,0.322333333
VC31,350,312,1.1417,0.3541
VC31,360,322,0.99355,0.3205
VC31,367,332,1.310052632,0.463947368
VC31,370,342,1.1913,0.42365
VC31,380,352,1.063,0.31245
VC31,390,362,1.0836,0.355
VC31,400,372,1.157578947,0.395842105
VC31,410,382,1.06465,0.2554
VC31,420,392,1.21115,0.4089
VC31,426,402,1.2472,0.7566
VC31,430,412,1.2433,0.441
VC31,440,422,1.3281,0.446
VC31,446,432,2.048,1.3966
VC31,450,442,1.3989375,0.60725
VC31,460,452,1.367444444,0.686777778
VC31,470,462,1.42,0.746666667
VC31,480,472,1.207533333,0.447533333
VC31,490,482,1.662,1.0864
VC31,496,492,1.6379,1.0065
VC31,500,502,1.1792,0.4101
VC31,510,512,1.564533333,0.705933333
VC31,520,522,1.37395,0.58665
VC31,530,532,1.400384615,0.718307692
VC31,540,542,1.611307692,1.042384615
VC31,550,552,1.66525,1.209916667
VC31,560,562,1.609538462,1.128076923
VC31,570,572,1.742,1.301071429
VC31,580,582,1.653941176,1.314235294
VC31,590,592,1.702571429,1.37
VC31,600,602,1.58275,1.313875
VC31,610,612,1.541,1.258714286
