Depth,d10,d50,d90,%>63
0,3.23,18.8,108,20.33
1,3.14,20.7,129,23.79
2,2.89,16.6,86.2,15.43
3,3.17,19.4,118,21.72
4,3.46,23.1,139,25.88
5,2.89,15.9,82.1,14.875
6,3.14,22.4,130,25.685
7,3.47,26.1,154,30.815
8,3.77,22.7,135,26.07
9,3.59,20.1,110,21.36
10,3.28,15.8,86.5,15.11
11,3.43,19.5,120,21.53
12,3.08,16.5,95.4,17.035
13,3.27,18.5,112,19.99
14,2.98,15.7,91.4,15.37
15,2.88,15,81.9,13.53
16,2.77,15.5,83.9,13.345
17,2.96,18.7,100,16.21
18,3.04,19.2,93.8,15.95
19,2.84,15.3,84.2,14.095
20,3.08,20.3,98.7,19.635
21,3.05,16.6,84.3,14.89
22,3.01,16.6,85.9,14.94
23,3.09,15.8,80.7,13.67
24,2.8,14.8,71.8,11.885
25,2.49,14.7,77.4,13.035
26,2.74,15.5,86.5,15.03
27,2.89,16.9,91.8,16.515
28,2.95,18.7,105,19.65
29,3.48,23.4,124,24.225
30,3.64,24.2,131,25.015
31,3.82,24.1,127,24.62
32,3.99,23.9,125,24.455
33,3.73,24,122,24.055
34,3.5,24.7,127,25.37
35,3.94,27.5,154,29.49
36,4.38,35.1,173,36.585
37,4.44,36.3,180,37.165
38,5,48.7,207,44.32
39,4.51,42.4,216,41.735
40,4.93,54.6,274,47.275
41,4.86,51.4,268,46.275
42,5.66,69.9,339,51.875
43,4.75,41.5,260,42.12
44,4.39,32.3,212,35.38
45,4.64,37.6,252,40.045
46,6.18,102,348,58.875
47,5.78,101,337,59.01
48,6.55,110,331,60.78
49,5.93,95.7,303,57.91
50,6,108,361,59.28
51,5.56,95.7,346,56.825
52,7.02,121,356,63.45
53,8.35,181,458,70.24
54,12,109,247,69.68
55,6.44,68.3,205,52.115
56,6.49,75.2,224,54.915
57,7.27,71.9,242,53.61
58,4.74,53.3,266,46.49
59,3.52,27.6,185,30.125
60,4.76,47.6,220,43.58
61,4.31,37.7,205,38.03
62,3.03,20.8,127,21.395
63,3,18.2,95.7,16.025
64,3.09,18.9,96.5,15.845
65,3.06,18.4,104,17.03
66,2.99,18.2,107,17.47
67,3.26,21.5,169,24.15
68,3.7,28.7,215,33.585
69,3.97,31.8,221,35.95
70,4.09,35.8,230,39.49
71,3.61,25.6,182,29.43
72,3.41,22.3,148,24.35
73,3.73,26.9,187,31.205
74,3.78,28.5,194,32.735
75,3.37,22,138,22.795
76,3.44,22.4,145,23.11
77,3.13,19.6,105,18.835
78,3.03,18.8,112,18.245
79,3.1,19.2,126,20.545
80,2.68,15.5,81.5,13.66
81,2.76,15.3,77.3,12.88
82,2.82,16.7,81.6,14.005
83,2.4,14.6,58,8.87
84,3.14,19.5,99.4,17.69
85,3.36,21.9,116,21.14
86,3.41,22.8,136,24.11
87,3.29,22,126,22.77
88,3.17,21.3,119,22.155
89,3.18,20.1,108,19.815
90,3.28,20.9,110,20.51
91,3.29,21.3,109,20.745
92,3.43,23.1,112,22.2
93,3.03,17.6,89.9,15.515
94,3.04,17.1,85.7,14.545
95,3.72,22,123,21.285
96,2.85,17.5,105,17.555
97,2.7,16.6,81.6,13.845
98,2.83,17.6,85.9,15.275
99,3.02,18.8,89,16.255
100,2.86,19.1,98.9,18.145
101,3.03,20.4,106,19.665
102,3.22,19.7,101,18.745
103,3.04,19.5,100,18.485
104,3.86,22.7,101,19.88
105,3.82,22.5,90.3,16.805
106,3.24,19.2,85.9,15.315
107,3.74,20.7,84,14.575
108,3.02,17.9,80.6,14.145
109,3,17.9,82.4,14.7
110,3.07,18.1,84.5,15.1
111,2.67,16.8,85.8,15.255
112,2.78,16.9,86.1,15.29
113,2.92,16.9,83.9,14.57
114,2.75,15.7,77.1,13.225
115,2.73,14.6,67.3,11.05
116,2.7,15.2,76.7,13.07
117,2.96,17.2,80.7,14.125
118,3.4,19.4,99.8,17.355
119,3.49,21.3,115,20.59
120,3.36,20.5,105,19.46
121,3.56,21.5,106,19.395
122,3.43,22.8,123,22.455
123,3.96,26.2,135,25.575
124,4.02,26.7,132,25.095
125,5.96,39.8,179,35.155
126,5.48,38.3,166,34.4
127,4.87,32.7,142,29.83
128,5.21,33.6,171,31.19
129,3.99,27.5,135,26.39
130,4.02,29.1,139,28.52
131,4.26,30.2,142,29.785
132,5.39,36.9,165,36.605
133,4.74,27.1,126,25.455
134,4.15,25.2,119,22.95
135,3.32,21.6,99.9,19.215
136,4.34,25.2,115,21.635
137,4.74,26.4,130,21.765
138,3.95,23.8,130,22.11
139,3.46,23.1,147,24.175
140,3.47,23.2,136,23.69
141,3.84,24.1,112,21.935
142,4.06,24.6,105,21.565
143,3.65,22,131,21.48
144,3.35,21.9,133,23.315
145,3.47,23.3,155,25.455
146,3.79,25.9,178,27.97
147,3.23,21.4,130,22.745
148,3.42,23.4,163,26.2
149,3.59,24.4,172,27.525
150,3.85,27.3,190,30.1
151,3.92,24.8,115,23.1
152,3.82,23.3,122,23.325
153,3.6,22.2,119,20.935
154,3.92,23.6,124,22.195
155,3.32,22.8,132,24.43
156,3.05,19.1,93.6,16.905
157,3.72,25.5,147,27.43
158,3.46,20.6,110,19.865
159,3.29,19.1,104,18.37
160,3.22,20.3,112,19.27
161,3.64,22.4,112,21.5
162,3.47,22.4,132,23.285
163,4.05,25.2,146,25.96
164,3.75,24.3,164,26.485
165,4.05,31.3,223,34.61
166,4.04,32,218,35.315
167,3.51,22.6,104,20.655
168,3.87,24.3,120,23.355
169,3.95,25,148,25.71
170,4.54,24.6,135,23.595
171,3.79,25.6,129,25.885
172,4.95,28.5,147,28.35
173,4.37,26.2,125,25.15
174,3.89,24.9,120,24.01
175,4.16,26.2,118,24.66
176,4.32,26.7,139,26.385
177,5.03,34.9,173,33.62
178,3.8,25.8,150,27.27
179,5.53,40,227,40.435
180,3.21,19,107,18.59
181,3.4,19.5,99.4,17.905
182,3.13,17.4,91,15.53
183,3.14,18.3,103,18.03
184,2.98,17.9,85.9,15.925
185,3.12,18.9,93.2,17.37
186,3.28,21.1,110,20.46
187,3.27,20.2,109,19.85
188,3.19,19.5,102,18.77
189,2.97,18.3,97,17.7
190,3.1,19.8,104,19.755
191,3.21,21.2,106,20.575
192,3.24,21.4,107,20.885
193,3.27,21.4,105,20.965
194,3.1,20.5,101,19.425
195,3.71,25.4,125,25.725
196,3.4,22.4,106,21.59
197,3.27,20,102,19.045
198,3.03,17.3,88.5,15.52
199,2.52,14.1,55.6,8.1
200,3.1,17.5,89.5,15.565
201,3.4,21.6,123,22.425
202,3.67,23.1,128,23.42
203,3.97,23.5,121,22.74
204,3.61,22.1,121,21.935
205,3.43,21.6,115,21.72
206,3.7,21.9,121,22.355
207,3.6,20.4,107,19.995
208,3.46,20.5,116,20.265
209,4.09,26.6,165,26.07
210,3.51,22.5,118,21.26
211,3.18,19.8,111,20.095
212,3.56,21.4,112,20.845
213,3.84,23.4,133,23.905
214,3.98,24.1,142,24.495
215,4.19,26.5,153,26.02
216,5.14,35.7,207,34.035
217,4.97,34.8,225,36.11
218,5.24,41,252,40.855
219,4.92,35.9,231,36.84
220,3.94,27.2,191,30.005
221,3.5,23.4,136,24.895
222,3.38,22.6,138,24.385
223,3.59,22.9,137,23.69
224,3.69,23.5,146,24.315
225,3.65,23.3,141,24.28
226,3.55,24,165,26.125
227,4.46,30.7,223,32.5
228,5.01,44.2,274,42.94
229,7.45,94,313,56.22
230,5.27,42.2,269,41.825
231,5.41,38,246,38.85
232,4.25,29.7,202,32.305
233,4.79,31.6,203,33.67
234,3.96,23.4,128,22.57
235,4.02,24,133,23.625
236,3.42,22.7,135,23.505
237,3.67,22.1,118,21.82
238,3.8,20.9,119,21.33
239,3.46,21.3,127,22.82
240,3.61,20.4,106,18.775
241,3.86,24.5,127,24.83
242,4.29,29,158,31.585
243,3.9,25.6,182,27.245
244,3.55,22.8,122,22.855
245,3.67,23.7,128,23.9
246,3.92,23.6,121,22.905
247,4.01,23.2,123,22.41
248,4.03,24,132,24.16
249,4.07,24.2,138,24.6
250,3.98,25.7,136,26.44
251,4.53,35.4,174,35.77
252,7.31,104,263,64.12
253,9.23,133,315,69.015
254,5.7,53,203,45.93
255,5.8,48.7,187,43.145
256,5.66,45.6,187,41.61
257,5.49,45.7,195,42.165
258,5.53,50.2,203,44.84
259,4.25,24.3,125,23.35
260,4.5,22.6,90.5,17.83
261,6.12,60.1,200,48.825
262,6.13,58.8,214,48.455
263,5.53,40,227,40.145
264,5.01,28.2,146,27.8
265,4.46,21.3,83.1,16.08
266,3.44,24.3,170,26.42
267,3.64,24.7,157,26.705
268,3.73,28,203,30.74
