depth	min.95	max.95	median	mean
0	-72	-72	-72	-72
1	-69.8	-68.4	-69.2	-69.2
2	-67.6	-64.9	-66.4	-66.3
3	-65.4	-61.4	-63.6	-63.5
4	-63.2	-57.8	-60.8	-60.7
5	-61	-54.3	-58	-57.9
6	-58.8	-50.7	-55.2	-55.1
7	-56.6	-47.2	-52.4	-52.2
8	-54.4	-43.7	-49.6	-49.4
9	-52.2	-40.1	-46.8	-46.6
10	-50.1	-36.6	-44.1	-43.8
11	-48.4	-33.8	-41.9	-41.6
12	-46.8	-31	-39.8	-39.5
13	-45.2	-28	-37.6	-37.3
14	-43.7	-25	-35.5	-35.2
15	-42.2	-21.8	-33.4	-33
16	-40.8	-18.7	-31.3	-30.9
17	-39.4	-15.7	-29.3	-28.7
18	-37.9	-12.5	-27.1	-26.6
19	-36.5	-9.3	-25.1	-24.4
20	-35.1	-6.1	-23	-22.3
21	-33.9	-3.2	-21	-20.3
22	-32.7	-0.2	-19.2	-18.4
23	-31.4	3.2	-17.4	-16.5
24	-30.2	6.3	-15.5	-14.5
25	-28.9	9.3	-13.6	-12.6
26	-27.7	12.6	-11.8	-10.6
27	-26.5	16	-10	-8.7
28	-25.2	19.5	-8.1	-6.7
29	-24.1	22.7	-6.3	-4.8
30	-22.9	26.2	-4.5	-2.8
31	-21.9	27.7	-2.9	-1.3
32	-20.9	29.6	-1.4	0.2
33	-19.9	31.2	0.1	1.7
34	-18.9	33.1	1.7	3.2
35	-17.9	35.3	3.2	4.7
36	-16.9	37.9	4.7	6.2
37	-16.1	40.4	6.1	7.7
38	-15.2	43.2	7.5	9.2
39	-14.3	45.2	9	10.8
40	-13.6	48.2	10.5	12.3
41	-12.5	50.1	12	13.8
42	-11.8	52.1	13.6	15.3
43	-10.7	54	15	16.8
44	-9.7	55.7	16.6	18.3
45	-8.8	57.8	18.1	19.8
46	-7.9	60	19.6	21.4
46.00001	-7.9	60	19.6	21.4
47	-7.9	60	19.6	21.4
48	-7.9	60	19.6	21.4
49	-7.9	60	19.6	21.4
50	-7.9	60	19.6	21.4
51	-7.9	60	19.6	21.4
52	-7.9	60	19.6	21.4
53	-7.9	60	19.6	21.4
54	-7.9	60	19.6	21.4
55	-7.9	60	19.6	21.4
56	-7.9	60	19.6	21.4
57	-7.9	60	19.6	21.4
57.00001	-7.9	60	19.6	21.4
58	-7	62.2	21	22.9
59	-6	64.5	22.4	24.4
60	-5.2	67.4	23.8	25.9
61	-4.3	70.5	25.3	27.4
62	-2.1	71.9	26.9	29.2
63	0	73.6	28.7	30.9
64	1.9	75.4	30.5	32.7
65	3.7	77.3	32.2	34.5
66	5.1	79.5	33.9	36.2
67	6.5	81.8	35.8	38
68	7.7	84	37.6	39.7
69	8.8	86.7	39.2	41.5
70	9.9	89.1	40.8	43.2
71	10.5	91.7	42.7	45
72	12.1	93.6	44	46.3
73	13.4	95.5	45.5	47.7
74	14.8	97.4	46.9	49
75	15.8	98.6	48.2	50.3
76	16.4	99.4	49.6	51.7
77	17.1	101	50.9	53
78	17.8	102.9	52.1	54.3
79	18.6	105.6	53.5	55.7
80	19.1	108.1	54.8	57
81	20.1	110.2	56	58.3
82	21.5	111.3	57.7	59.7
83	22.9	112.3	59.2	61.1
84	24.2	113.1	60.7	62.5
85	25.3	114.3	62.2	63.8
86	26.3	116	63.9	65.2
87	27.4	117.4	65.3	66.6
88	28.7	118.4	66.7	68
89	29.8	119.8	68.1	69.4
90	30.7	122	69.6	70.8
91	31.7	123.6	70.9	72.1
92	33.1	124.6	72.1	73.3
93	34.5	125.7	73.2	74.5
94	35.7	126.9	74.3	75.7
95	36.9	127.9	75.5	76.9
96	38.1	129	76.5	78.1
97	39	130.2	77.6	79.3
98	40	131.3	78.7	80.4
99	41.2	132.5	80	81.6
100	41.8	134.3	81.2	82.8
101	42.4	136.8	82.3	84
102	43.6	137.5	83.7	85.2
103	45.1	138.6	84.8	86.4
104	46	139.9	86	87.6
105	47	140.9	87.2	88.9
106	48.1	141.8	88.5	90.1
107	48.7	142.7	89.7	91.3
108	49.3	143.9	91	92.5
